Number,Location,Sitename,Sitenumber,Habitat,Date,Depth,Dimension,Loc_abbrev,ID_number,ID,Family,Genus,Species,Tax,SL,TL,W,Full_ID,Lat,Long,Notes,
856,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.5,25.1,0.318,UAE18---_HETEVULG_20.5,25.49257,56.36386,NPNT-Lot,mottled dorsal
857,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.6,25,0.328,UAE18---_HETEVULG_20.6,25.49257,56.36386,NPNT-Lot,mottled dorsal
858,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,17.5,21.7,0.172,UAE18---_HETEVULG_17.5,25.49257,56.36386,NPNT-Lot,mottled dorsal
859,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.9,20.9,0.166,UAE18---_HETEVULG_16.9,25.49257,56.36386,NPNT-Lot,mottled dorsal
860,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16,20,0.132,UAE18---_HETEVULG_16,25.49257,56.36386,NPNT-Lot,mottled dorsal
861,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.7,20.7,0.147,UAE18---_HETEVULG_16.7,25.49257,56.36386,NPNT-Lot,mottled dorsal
862,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,27.7,32.7,0.539,UAE18---_HETEVULG_27.7,25.49257,56.36386,NPNT-Lot,mottled dorsal
863,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,20.9,25.2,0.279,UAE18---_HETEVULG_20.9,25.49257,56.36386,NPNT-Lot,mottled dorsal
864,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,13.8,17.2,0.105,UAE18---_HETEVULG_13.8,25.49257,56.36386,NPNT-Lot,mottled dorsal
865,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,22.3,26.9,0.358,UAE18---_HETEVULG_22.3,25.49257,56.36386,NPNT-Lot,mottled dorsal
866,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.9,20.1,0.153,UAE18---_HETEVULG_16.9,25.49257,56.36386,NPNT-Lot,mottled dorsal
867,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.3,20.1,0.139,UAE18---_HETEVULG_16.3,25.49257,56.36386,NPNT-Lot,mottled dorsal
868,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.5,20.2,0.151,UAE18---_HETEVULG_16.5,25.49257,56.36386,NPNT-Lot,mottled dorsal
869,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,17.1,20.6,0.14,UAE18---_HETEVULG_17.1,25.49257,56.36386,NPNT-Lot,mottled dorsal
870,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18.2,21.8,0.185,UAE18---_HETEVULG_18.2,25.49257,56.36386,NPNT-Lot,mottled dorsal
871,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,16.2,20,0.14,UAE18---_HETEVULG_16.2,25.49257,56.36386,NPNT-Lot,mottled dorsal
872,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,18.3,22.1,0.165,UAE18---_HETEVULG_18.3,25.49257,56.36386,NPNT-Lot,mottled dorsal
873,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,14.9,17.7,0.08,UAE18---_HETEVULG_14.9,25.49257,56.36386,NPNT-Lot,mottled dorsal
874,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,15.8,18.6,0.109,UAE18---_HETEVULG_15.8,25.49257,56.36386,NPNT-Lot,mottled dorsal
875,Fujairah,DibbaI,B13,Rockyreef,3/5/18,8.2,290,UAE18,---,UAE18---,Gobiidae,Hetereleotris,vulgaris,HETEVULG,25.6,29.8,0.411,UAE18---_HETEVULG_25.6,25.49257,56.36386,NPNT-Lot,mottled dorsal
876,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,555,UAE18555,Gobiidae,Priolepis,speA,PRIOSPEA,32.8,41.8,1.056,UAE18555_PRIOSPEA_32.8,25.48209,56.36566,Comm,
877,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,556,UAE18556,Gobiidae,Priolepis,semidoliata,PRIOSEMI,22.4,30.3,0.454,UAE18556_PRIOSEMI_22.4,25.48209,56.36566,Vial,
878,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,557,UAE18557,Gobiidae,Priolepis,cincta,PRIOCINC,31.1,38.5,0.85,UAE18557_PRIOCINC_31.1,25.48209,56.36566,Comm,
879,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,558,UAE18558,Gobiidae,Priolepis,semidoliata,PRIOSEMI,21.5,27.3,0.352,UAE18558_PRIOSEMI_21.5,25.48209,56.36566,Vial,
880,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,559,UAE18559,Gobiidae,Priolepis,semidoliata,PRIOSEMI,20.3,25.7,0.222,UAE18559_PRIOSEMI_20.3,25.48209,56.36566,Vial,
881,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,560,UAE18560,Gobiidae,Priolepis,semidoliata,PRIOSEMI,18.5,23.1,0.217,UAE18560_PRIOSEMI_18.5,25.48209,56.36566,Vial,
882,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,561,UAE18561,Gobiidae,Priolepis,semidoliata,PRIOSEMI,21.7,28.7,0.291,UAE18561_PRIOSEMI_21.7,25.48209,56.36566,Vial,
883,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,562,UAE18562,Gobiidae,Priolepis,semidoliata,PRIOSEMI,16.6,21.9,0.164,UAE18562_PRIOSEMI_16.6,25.48209,56.36566,Vial,
884,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,563,UAE18563,Gobiidae,Priolepis,speA,PRIOSPEA,15.3,18.5,0.081,UAE18563_PRIOSPEA_15.3,25.48209,56.36566,Vial,
885,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,564,UAE18564,Syngnathidae,Doryrhamphus,speA,DORYSPEA,50,55,0.357,UAE18564_DORYSPEA_50,25.48209,56.36566,Vial,
886,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,565,UAE18565,Gobiidae,Trimma,speA,TRIMSPEA,18.9,23.8,0.219,UAE18565_TRIMSPEA_18.9,25.48209,56.36566,Vial,
887,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,566,UAE18566,Gobiidae,Eviota,punyit,EVIOPUNY,21.3,25.3,0.158,UAE18566_EVIOPUNY_21.3,25.48209,56.36566,Vial,
888,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,567,UAE18567,Gobiidae,Eviota,guttata,EVIOGUTT,18.9,22.9,0.163,UAE18567_EVIOGUTT_18.9,25.48209,56.36566,Vial,
889,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,568,UAE18568,Gobiidae,Eviota,guttata,EVIOGUTT,20.8,24.7,0.183,UAE18568_EVIOGUTT_20.8,25.48209,56.36566,Vial,
890,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,569,UAE18569,Pseudochromidae,Pseudochromis,aldabraensis,PSEUALDA,54.3,65,2.747,UAE18569_PSEUALDA_54.3,25.48209,56.36566,Comm,
891,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,570,UAE18570,Pseudochromidae,Pseudochromis,aldabraensis,PSEUALDA,43.9,52.5,1.627,UAE18570_PSEUALDA_43.9,25.48209,56.36566,Comm,
892,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,571,UAE18571,Gobiidae,Fusigobius,inframaculatus,FUSIINFR,27.2,33,0.381,UAE18571_FUSIINFR_27.2,25.48209,56.36566,Vial,
893,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,572,UAE18572,Gobiidae,Eviota,punyit,EVIOPUNY,20.9,24.6,0.158,UAE18572_EVIOPUNY_20.9,25.48209,56.36566,Vial,
894,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,573,UAE18573,Gobiidae,Eviota,guttata,EVIOGUTT,18.4,22.3,0.165,UAE18573_EVIOGUTT_18.4,25.48209,56.36566,Vial,
895,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,574,UAE18574,Gobiidae,Eviota,punyit,EVIOPUNY,20.5,24.1,0.16,UAE18574_EVIOPUNY_20.5,25.48209,56.36566,Vial,
896,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,575,UAE18575,Gobiidae,Eviota,guttata,EVIOGUTT,19.7,23.1,0.162,UAE18575_EVIOGUTT_19.7,25.48209,56.36566,Vial,
897,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,576,UAE18576,Gobiidae,Eviota,guttata,EVIOGUTT,19.6,23.2,0.163,UAE18576_EVIOGUTT_19.6,25.48209,56.36566,Vial,
898,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,577,UAE18577,Gobiidae,Eviota,punyit,EVIOPUNY,18.3,21.8,0.116,UAE18577_EVIOPUNY_18.3,25.48209,56.36566,Vial,
899,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,578,UAE18578,Gobiidae,Eviota,guttata,EVIOGUTT,20.5,23.5,0.141,UAE18578_EVIOGUTT_20.5,25.48209,56.36566,Vial,
900,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,579,UAE18579,Gobiidae,Trimma,speA,TRIMSPEA,9.8,13.4,0.024,UAE18579_TRIMSPEA_9.8,25.48209,56.36566,Vial,
901,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,580,UAE18580,Gobiidae,Gnatholepis,speA,GNATSPEA,30.7,36.1,0.499,UAE18580_GNATSPEA_30.7,25.48209,56.36566,Vial,
902,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,581,UAE18581,Gobiidae,Istigobius,speA,ISTISPEA,36.3,46.4,1.002,UAE18581_ISTISPEA_36.3,25.48209,56.36566,Comm,
903,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,582,UAE18582,Gobiidae,Istigobius,speA,ISTISPEA,26.5,32.4,0.346,UAE18582_ISTISPEA_26.5,25.48209,56.36566,Vial,
904,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,583,UAE18583,Gobiidae,Fusigobius,inframaculatus,FUSIINFR,31.1,37.1,0.578,UAE18583_FUSIINFR_31.1,25.48209,56.36566,Vial,
905,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,584,UAE18584,Apogonidae,Ostorhinchus,cyanosoma,OSTOCYAN,44.8,56.4,3.002,UAE18584_OSTOCYAN_44.8,25.48209,56.36566,Comm,
906,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,585,UAE18585,Apogonidae,Apogon,coccineus,APOGCOCC,36.1,45.7,1.878,UAE18585_APOGCOCC_36.1,25.48209,56.36566,Comm,
907,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,586,UAE18586,Apogonidae,Apogon,coccineus,APOGCOCC,33.4,41.8,1.335,UAE18586_APOGCOCC_33.4,25.48209,56.36566,Comm,
908,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,587,UAE18587,Apogonidae,Apogon,coccineus,APOGCOCC,37,45.3,1.703,UAE18587_APOGCOCC_37,25.48209,56.36566,Comm,
909,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,588,UAE18588,Apogonidae,Apogon,coccineus,APOGCOCC,35.1,44.6,1.743,UAE18588_APOGCOCC_35.1,25.48209,56.36566,Comm,
910,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,589,UAE18589,Apogonidae,Apogon,speA,APOGSPEA,15.4,20.3,0.1,UAE18589_APOGSPEA_15.4,25.48209,56.36566,Vial,
911,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,590,UAE18590,Apogonidae,Apogon,speA,APOGSPEA,13,15.9,0.052,UAE18590_APOGSPEA_13,25.48209,56.36566,Vial,
912,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,591,UAE18591,Apogonidae,Apogon,speA,APOGSPEA,13.5,16.9,0.065,UAE18591_APOGSPEA_13.5,25.48209,56.36566,Vial,
913,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,592,UAE18592,Muraenidae,Gymnothorax,speA,GYMNSPEA,135.6,142.3,3.452,UAE18592_GYMNSPEA_135.6,25.48209,56.36566,Comm,
914,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,593,UAE18593,Muraenidae,Gymnothorax,speA,GYMNSPEA,126,130.7,2.941,UAE18593_GYMNSPEA_126,25.48209,56.36566,Comm,
915,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,594,UAE18594,Muraenidae,Gymnothorax,speA,GYMNSPEA,64.9,68.2,0.442,UAE18594_GYMNSPEA_64.9,25.48209,56.36566,Vial,
916,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,595,UAE18595,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,32.9,39.4,0.648,UAE18595_HELCFUSC_32.9,25.48209,56.36566,Vial,
917,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,596,UAE18596,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,26.6,32.1,0,UAE18596_HELCFUSC_26.6,25.48209,56.36566,Vial,
918,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,597,UAE18597,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,20.6,24.3,0.159,UAE18597_HELCFUSC_20.6,25.48209,56.36566,Vial,
919,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,598,UAE18598,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,25.1,31.3,0.347,UAE18598_HELCFUSC_25.1,25.48209,56.36566,Vial,
920,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,599,UAE18599,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,32.4,40.3,0.682,UAE18599_HELCFUSC_32.4,25.48209,56.36566,Vial,
921,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,600,UAE18600,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,27.6,34.4,0.489,UAE18600_HELCFUSC_27.6,25.48209,56.36566,Vial,
922,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,601,UAE18601,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,28.8,34.5,0.483,UAE18601_HELCFUSC_28.8,25.48209,56.36566,Vial,
923,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,602,UAE18602,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,27.8,34.3,0.484,UAE18602_HELCFUSC_27.8,25.48209,56.36566,Vial,
924,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,603,UAE18603,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,23.4,27.5,0.26,UAE18603_HELCFUSC_23.4,25.48209,56.36566,Vial,
925,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,604,UAE18604,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,28.2,35.5,0.542,UAE18604_HELCFUSC_28.2,25.48209,56.36566,Vial,
926,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,605,UAE18605,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,22.1,26.7,0.24,UAE18605_HELCFUSC_22.1,25.48209,56.36566,Vial,
927,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,606,UAE18606,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,23.7,28.6,0.322,UAE18606_HELCFUSC_23.7,25.48209,56.36566,Vial,
928,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,607,UAE18607,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,29.4,35.6,0.504,UAE18607_HELCFUSC_29.4,25.48209,56.36566,Vial,
929,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,608,UAE18608,Gobiidae,Coryogalops,anomalus,CORYANOM,19.7,23.7,0.162,UAE18608_CORYANOM_19.7,25.48209,56.36566,Vial,
930,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,609,UAE18609,Tripterygiidae,Helcogramma,fuscopinna,HELCFUSC,20.6,24.2,0.17,UAE18609_HELCFUSC_20.6,25.48209,56.36566,Vial,
931,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,610,UAE18610,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.8,21.5,0.121,UAE18610_ENNEVENT_17.8,25.48209,56.36566,Vial,
932,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,611,UAE18611,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.6,22.7,0.122,UAE18611_ENNEVENT_18.6,25.48209,56.36566,Vial,
933,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,612,UAE18612,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.6,22.4,0.131,UAE18612_ENNEVENT_18.6,25.48209,56.36566,Vial,
934,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,613,UAE18613,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.2,19.6,0.078,UAE18613_ENNEVENT_16.2,25.48209,56.36566,Vial,
935,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,614,UAE18614,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.1,22.3,0.134,UAE18614_ENNEVENT_19.1,25.48209,56.36566,Vial,
936,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,615,UAE18615,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.9,22.9,0.135,UAE18615_ENNEVENT_18.9,25.48209,56.36566,Vial,
937,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,616,UAE18616,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.9,21.5,0.093,UAE18616_ENNEVENT_17.9,25.48209,56.36566,Vial,
938,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,617,UAE18617,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.6,24.4,0.16,UAE18617_ENNEVENT_19.6,25.48209,56.36566,Vial,
939,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,618,UAE18618,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.8,21.4,0.115,UAE18618_ENNEVENT_18.8,25.48209,56.36566,Vial,
940,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,619,UAE18619,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.5,21.8,0.127,UAE18619_ENNEVENT_18.5,25.48209,56.36566,Vial,
941,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,620,UAE18620,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.5,23.4,0.155,UAE18620_ENNEVENT_19.5,25.48209,56.36566,Vial,
942,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,621,UAE18621,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.6,21.3,0.111,UAE18621_ENNEVENT_17.6,25.48209,56.36566,Vial,
943,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,622,UAE18622,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.6,22.6,0.124,UAE18622_ENNEVENT_18.6,25.48209,56.36566,Vial,
944,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,623,UAE18623,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.6,20.4,0.106,UAE18623_ENNEVENT_17.6,25.48209,56.36566,Vial,
945,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,624,UAE18624,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,19.4,23.1,0.154,UAE18624_ENNEVENT_19.4,25.48209,56.36566,Vial,
946,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,625,UAE18625,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.4,21.6,0.111,UAE18625_ENNEVENT_18.4,25.48209,56.36566,Vial,
947,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,626,UAE18626,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.6,23.1,0.139,UAE18626_ENNEVENT_18.6,25.48209,56.36566,Vial,
948,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,627,UAE18627,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.7,19.1,0.093,UAE18627_ENNEVENT_16.7,25.48209,56.36566,Vial,
949,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,628,UAE18628,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.1,20.5,0.111,UAE18628_ENNEVENT_18.1,25.48209,56.36566,Vial,
950,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,629,UAE18629,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.4,21.3,0.113,UAE18629_ENNEVENT_17.4,25.48209,56.36566,Vial,
951,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,630,UAE18630,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.6,22.4,0.118,UAE18630_ENNEVENT_18.6,25.48209,56.36566,Vial,
952,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,631,UAE18631,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.4,21.4,0.115,UAE18631_ENNEVENT_17.4,25.48209,56.36566,Vial,
953,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,632,UAE18632,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.2,19.9,0.093,UAE18632_ENNEVENT_16.2,25.48209,56.36566,Vial,
954,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,633,UAE18633,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,17.6,21,0.096,UAE18633_ENNEVENT_17.6,25.48209,56.36566,Vial,
955,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,634,UAE18634,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.1,21.2,0.105,UAE18634_ENNEVENT_18.1,25.48209,56.36566,Vial,
956,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,635,UAE18635,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.6,19.8,0.095,UAE18635_ENNEVENT_16.6,25.48209,56.36566,Vial,
957,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,636,UAE18636,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,18.3,21.2,0.112,UAE18636_ENNEVENT_18.3,25.48209,56.36566,Vial,
958,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,637,UAE18637,Tripterygiidae,Enneapterygius,ventermaculus,ENNEVENT,16.6,18.9,0.082,UAE18637_ENNEVENT_16.6,25.48209,56.36566,Vial,
959,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,638,UAE18638,Blenniidae,Ecsenius,pulcher,ECSEPULC,36.1,44.1,0.962,UAE18638_ECSEPULC_36.1,25.48209,56.36566,Comm,
960,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,639,UAE18639,Blenniidae,Ecsenius,pulcher,ECSEPULC,38.4,46.4,1.114,UAE18639_ECSEPULC_38.4,25.48209,56.36566,Comm,
961,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,640,UAE18640,Blenniidae,Ecsenius,pulcher,ECSEPULC,33.8,41,0.864,UAE18640_ECSEPULC_33.8,25.48209,56.36566,Comm,
962,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,641,UAE18641,Blenniidae,Ecsenius,pulcher,ECSEPULC,55.6,70.1,2.826,UAE18641_ECSEPULC_55.6,25.48209,56.36566,Comm,
963,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,642,UAE18642,Blenniidae,Ecsenius,pulcher,ECSEPULC,45.7,56.8,1.904,UAE18642_ECSEPULC_45.7,25.48209,56.36566,Comm,
964,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,643,UAE18643,Gobiidae,Coryogalops,anomalus,CORYANOM,26,31.2,0.336,UAE18643_CORYANOM_26,25.48209,56.36566,Vial,
965,Fujairah,SharmRockIII,B14,Rockyreef,3/5/18,8.2,290,UAE18,644,UAE18644,Gobiidae,Coryogalops,anomalus,CORYANOM,21.7,26.7,0.226,UAE18644_CORYANOM_21.7,25.48209,56.36566,Vial,
